timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-04-21,586.52010000,599.00000000,574.49130000,576.75440000,586.52010000,599.00000000,574.49130000,576.75440000,426547.69500000,426547.69500000
2021-04-20,504.03220000,589.50000000,470.20700000,586.36350000,504.03220000,589.50000000,470.20700000,586.36350000,5730895.32500000,5730895.32500000
2021-04-19,481.51120000,540.00000000,467.88460000,504.03220000,481.51120000,540.00000000,467.88460000,504.03220000,5031325.71300000,5031325.71300000
2021-04-18,514.81780000,520.42370000,428.00000000,481.43670000,514.81780000,520.42370000,428.00000000,481.43670000,4468597.46000000,4468597.46000000
2021-04-17,508.26140000,547.95000000,506.00000000,514.68610000,508.26140000,547.95000000,506.00000000,514.68610000,2949040.22100000,2949040.22100000
2021-04-16,541.83510000,547.60740000,489.73560000,508.27430000,541.83510000,547.60740000,489.73560000,508.27430000,4192218.46200000,4192218.46200000
2021-04-15,550.01820000,556.90000000,533.71660000,541.88240000,550.01820000,556.90000000,533.71660000,541.88240000,2306850.04500000,2306850.04500000
2021-04-14,551.39560000,590.53690000,521.13130000,550.01820000,551.39560000,590.53690000,521.13130000,550.01820000,4213337.25100000,4213337.25100000
2021-04-13,596.78780000,602.78710000,530.22880000,551.64420000,596.78780000,602.78710000,530.22880000,551.64420000,5447746.54400000,5447746.54400000
2021-04-12,525.92750000,638.56730000,515.10000000,596.71040000,525.92750000,638.56730000,515.10000000,596.71040000,9279328.84000000,9279328.84000000
2021-04-11,471.29740000,529.21100000,458.01650000,525.92750000,471.29740000,529.21100000,458.01650000,525.92750000,3644396.11000000,3644396.11000000
2021-04-10,453.98980000,487.40620000,450.00000000,471.29750000,453.98980000,487.40620000,450.00000000,471.29750000,4659107.21200000,4659107.21200000
2021-04-09,418.70470000,453.99370000,403.19000000,453.99370000,418.70470000,453.99370000,403.19000000,453.99370000,3670424.43300000,3670424.43300000
2021-04-08,375.55380000,422.63230000,371.78000000,418.70480000,375.55380000,422.63230000,371.78000000,418.70480000,4092498.63800000,4092498.63800000
2021-04-07,403.26070000,414.38030000,356.00000000,375.55380000,403.26070000,414.38030000,356.00000000,375.55380000,6179859.70800000,6179859.70800000
2021-04-06,368.15060000,411.75500000,363.83330000,403.36480000,368.15060000,411.75500000,363.83330000,403.36480000,4481056.43600000,4481056.43600000
2021-04-05,348.87050000,380.00000000,335.84420000,368.02630000,348.87050000,380.00000000,335.84420000,368.02630000,3473780.05500000,3473780.05500000
2021-04-04,321.95970000,352.32750000,316.00000000,348.86170000,321.95970000,352.32750000,316.00000000,348.86170000,2730876.03000000,2730876.03000000
2021-04-03,338.29320000,349.13470000,315.91000000,321.94970000,338.29320000,349.13470000,315.91000000,321.94970000,3099870.84800000,3099870.84800000
2021-04-02,334.67060000,356.98820000,324.61620000,338.29320000,334.67060000,356.98820000,324.61620000,338.29320000,4205858.47800000,4205858.47800000
2021-04-01,302.45910000,339.00000000,300.70000000,334.79910000,302.45910000,339.00000000,300.70000000,334.79910000,4390708.58100000,4390708.58100000
2021-03-31,311.29620000,316.69970000,284.00000000,302.37240000,311.29620000,316.69970000,284.00000000,302.37240000,4719335.50600000,4719335.50600000
2021-03-30,275.29860000,311.53250000,271.28570000,311.29620000,275.29860000,311.53250000,271.28570000,311.29620000,5532768.33000000,5532768.33000000
2021-03-29,268.62340000,277.98130000,264.45850000,275.29910000,268.62340000,277.98130000,264.45850000,275.29910000,2728496.99000000,2728496.99000000
2021-03-28,269.28640000,281.39390000,261.00000000,268.42630000,269.28640000,281.39390000,261.00000000,268.42630000,3272613.75500000,3272613.75500000
2021-03-27,255.12010000,276.00000000,249.50010000,269.22340000,255.12010000,276.00000000,249.50010000,269.22340000,3089181.84800000,3089181.84800000
2021-03-26,234.00240000,255.21130000,233.81140000,255.21050000,234.00240000,255.21130000,233.81140000,255.21050000,2635329.15500000,2635329.15500000
2021-03-25,248.53450000,250.09120000,224.96860000,233.94660000,248.53450000,250.09120000,224.96860000,233.94660000,3498082.82700000,3498082.82700000
2021-03-24,255.51910000,268.70620000,240.33330000,248.52360000,255.51910000,268.70620000,240.33330000,248.52360000,3270691.79500000,3270691.79500000
2021-03-23,254.96890000,262.97000000,251.83800000,255.46460000,254.96890000,262.97000000,251.83800000,255.46460000,2587450.73200000,2587450.73200000
2021-03-22,264.71520000,277.00000000,252.91640000,254.79760000,264.71520000,277.00000000,252.91640000,254.79760000,3265655.83100000,3265655.83100000
2021-03-21,264.22130000,268.03050000,257.00010000,264.65130000,264.22130000,268.03050000,257.00010000,264.65130000,1973476.75400000,1973476.75400000
2021-03-20,263.10830000,274.68050000,261.40000000,264.30230000,263.10830000,274.68050000,261.40000000,264.30230000,2377018.11000000,2377018.11000000
2021-03-19,261.51570000,269.00000000,255.00000000,262.93500000,261.51570000,269.00000000,255.00000000,262.93500000,2262870.65300000,2262870.65300000
2021-03-18,269.85780000,277.80000000,257.01000000,261.48160000,269.85780000,277.80000000,257.01000000,261.48160000,3152509.58900000,3152509.58900000
2021-03-17,258.56110000,272.17870000,248.20010000,269.78960000,258.56110000,272.17870000,248.20010000,269.78960000,2856836.91900000,2856836.91900000
