timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-02-20,236.45000000,247.04000000,214.02000000,226.65000000,236.45000000,247.04000000,214.02000000,226.65000000,1701950.27455000,1701950.27455000
2021-02-19,226.58000000,241.92000000,220.06000000,236.50000000,226.58000000,241.92000000,220.06000000,236.50000000,1402427.87852000,1402427.87852000
2021-02-18,237.39000000,239.18000000,221.00000000,226.59000000,237.39000000,239.18000000,221.00000000,226.59000000,1580820.71000000,1580820.71000000
2021-02-17,210.23000000,237.75000000,203.37000000,237.49000000,210.23000000,237.75000000,203.37000000,237.49000000,1839179.97093000,1839179.97093000
2021-02-16,208.03000000,222.48000000,200.10000000,210.26000000,208.03000000,222.48000000,200.10000000,210.26000000,1660812.39786000,1660812.39786000
2021-02-15,213.47000000,219.99000000,185.31000000,207.83000000,213.47000000,219.99000000,185.31000000,207.83000000,2173405.17958000,2173405.17958000
2021-02-14,225.77000000,230.77000000,208.11000000,213.49000000,225.77000000,230.77000000,208.11000000,213.49000000,1765475.48101000,1765475.48101000
2021-02-13,196.71000000,229.07000000,191.45000000,225.76000000,196.71000000,229.07000000,191.45000000,225.76000000,2843517.28691000,2843517.28691000
2021-02-12,183.62000000,199.84000000,176.75000000,196.69000000,183.62000000,199.84000000,176.75000000,196.69000000,1946870.34253000,1946870.34253000
2021-02-11,181.59000000,193.59000000,175.72000000,183.62000000,181.59000000,193.59000000,175.72000000,183.62000000,1664189.08770000,1664189.08770000
2021-02-10,181.52000000,195.17000000,169.57000000,181.56000000,181.52000000,195.17000000,169.57000000,181.56000000,2781973.96254000,2781973.96254000
2021-02-09,167.28000000,184.49000000,164.22000000,181.49000000,167.28000000,184.49000000,164.22000000,181.49000000,1981149.12366000,1981149.12366000
2021-02-08,150.76000000,169.38000000,147.76000000,167.28000000,150.76000000,169.38000000,147.76000000,167.28000000,1894490.90608000,1894490.90608000
2021-02-07,155.57000000,157.29000000,145.23000000,150.76000000,155.57000000,157.29000000,145.23000000,150.76000000,1259975.92894000,1259975.92894000
2021-02-06,155.05000000,164.27000000,149.82000000,155.57000000,155.05000000,164.27000000,149.82000000,155.57000000,1879526.24312000,1879526.24312000
2021-02-05,145.05000000,156.93000000,143.45000000,155.05000000,145.05000000,156.93000000,143.45000000,155.05000000,1572009.29596000,1572009.29596000
2021-02-04,155.94000000,158.68000000,141.03000000,145.07000000,155.94000000,158.68000000,141.03000000,145.07000000,1766938.56965000,1766938.56965000
2021-02-03,141.96000000,156.70000000,141.92000000,155.93000000,141.96000000,156.70000000,141.92000000,155.93000000,1820822.28924000,1820822.28924000
2021-02-02,131.99000000,145.82000000,131.87000000,141.98000000,131.99000000,145.82000000,131.87000000,141.98000000,1884558.49538000,1884558.49538000
2021-02-01,129.37000000,136.63000000,125.95000000,132.00000000,129.37000000,136.63000000,125.95000000,132.00000000,1167609.37029000,1167609.37029000
2021-01-31,133.35000000,135.06000000,125.67000000,129.36000000,133.35000000,135.06000000,125.67000000,129.36000000,917993.35191000,917993.35191000
2021-01-30,134.67000000,136.23000000,128.02000000,133.36000000,134.67000000,136.23000000,128.02000000,133.36000000,1215569.95596000,1215569.95596000
2021-01-29,133.25000000,145.50000000,131.44000000,134.65000000,133.25000000,145.50000000,131.44000000,134.65000000,2193040.38440000,2193040.38440000
2021-01-28,122.45000000,135.84000000,120.74000000,133.27000000,122.45000000,135.84000000,120.74000000,133.27000000,1074760.50528000,1074760.50528000
2021-01-27,134.69000000,134.96000000,118.13000000,122.44000000,134.69000000,134.96000000,118.13000000,122.44000000,1240323.68178000,1240323.68178000
2021-01-26,137.07000000,139.76000000,127.85000000,134.67000000,137.07000000,139.76000000,127.85000000,134.67000000,1093141.08136000,1093141.08136000
2021-01-25,141.01000000,147.87000000,136.62000000,137.07000000,141.01000000,147.87000000,136.62000000,137.07000000,1380902.39350000,1380902.39350000
2021-01-24,137.66000000,142.65000000,133.73000000,141.01000000,137.66000000,142.65000000,133.73000000,141.01000000,917459.85058000,917459.85058000
2021-01-23,137.65000000,143.52000000,135.05000000,137.67000000,137.65000000,143.52000000,135.05000000,137.67000000,969988.56158000,969988.56158000
2021-01-22,129.70000000,141.85000000,122.70000000,137.66000000,129.70000000,141.85000000,122.70000000,137.66000000,1979078.00560000,1979078.00560000
2021-01-21,149.67000000,150.25000000,125.64000000,129.72000000,149.67000000,150.25000000,125.64000000,129.72000000,2114912.93172000,2114912.93172000
2021-01-20,151.85000000,156.15000000,138.40000000,149.69000000,151.85000000,156.15000000,138.40000000,149.69000000,2037654.31965000,2037654.31965000
2021-01-19,151.97000000,166.02000000,150.18000000,151.86000000,151.97000000,166.02000000,150.18000000,151.86000000,2288798.47777000,2288798.47777000
2021-01-18,142.78000000,154.99000000,138.44000000,151.96000000,142.78000000,154.99000000,138.44000000,151.96000000,1644947.14813000,1644947.14813000
2021-01-17,143.52000000,147.00000000,136.22000000,142.80000000,143.52000000,147.00000000,136.22000000,142.80000000,1379082.37920000,1379082.37920000
2021-01-16,143.66000000,152.59000000,139.28000000,143.52000000,143.66000000,152.59000000,139.28000000,143.52000000,1784053.82975000,1784053.82975000
2021-01-15,152.46000000,155.74000000,130.00000000,143.65000000,152.46000000,155.74000000,130.00000000,143.65000000,2104225.51210000,2104225.51210000
2021-01-14,147.39000000,156.89000000,143.55000000,152.50000000,147.39000000,156.89000000,143.55000000,152.50000000,2033762.60027000,2033762.60027000
2021-01-13,133.44000000,148.46000000,125.90000000,147.38000000,133.44000000,148.46000000,125.90000000,147.38000000,2153426.27798000,2153426.27798000
2021-01-12,138.88000000,146.86000000,128.00000000,133.42000000,138.88000000,146.86000000,128.00000000,133.42000000,2825579.61257000,2825579.61257000
2021-01-11,170.06000000,170.74000000,112.70000000,138.87000000,170.06000000,170.74000000,112.70000000,138.87000000,4989528.65149000,4989528.65149000
2021-01-10,177.27000000,185.83000000,161.86000000,170.07000000,177.27000000,185.83000000,161.86000000,170.07000000,2269705.04460000,2269705.04460000
2021-01-09,172.28000000,178.80000000,163.30000000,177.26000000,172.28000000,178.80000000,163.30000000,177.26000000,1749781.84973000,1749781.84973000
2021-01-08,169.35000000,181.92000000,150.00000000,172.19000000,169.35000000,181.92000000,150.00000000,172.19000000,2843159.70340000,2843159.70340000
2021-01-07,168.96000000,181.22000000,161.18000000,169.35000000,168.96000000,181.22000000,161.18000000,169.35000000,2493533.99480000,2493533.99480000
2021-01-06,158.46000000,169.72000000,154.95000000,168.92000000,158.46000000,169.72000000,154.95000000,168.92000000,1857831.43166000,1857831.43166000
2021-01-05,155.33000000,162.80000000,146.52000000,158.43000000,155.33000000,162.80000000,146.52000000,158.43000000,1998205.92425000,1998205.92425000
2021-01-04,161.23000000,173.66000000,139.31000000,155.34000000,161.23000000,173.66000000,139.31000000,155.34000000,3530422.20392000,3530422.20392000
2021-01-03,136.94000000,164.70000000,135.30000000,161.24000000,136.94000000,164.70000000,135.30000000,161.24000000,3813834.07669000,3813834.07669000
